Site,250m_16_days_EVI-0,50m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,50m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,50m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
TXC4,0.08686926587352932,0.13242368737677368,0.12821835334079337,0.2629959790314801,-2.868280313406931,-1.0616502212925747,0.07183154388574085,0.1272579173796585,0.09534075852112522,0.14042368376242703,-4.013298440403626,-2.340814869004997,0.07968748874579606,0.13581556244838675,0.10568227993615772,0.15635695496714816,-5.626882839143135,-3.3235373882948314,33.21051667,-95.67131667,29.0,C,7/10/2014
TXD1,-0.03061032022791482,-0.04018175823476884,-0.08267703109656856,-0.5737052064899084,-0.9601209940887073,-5.9019100743486135,-0.030621618876715682,-0.03425462358535824,-0.09045261259462718,-0.5559311740978325,-2.929141016355506,-6.429346697495658,-0.023504030094517958,-0.03281449979722948,-0.06412780673454495,-0.5204220186832841,-0.8726333182291662,-5.692628389719365,34.887621,-100.051117,140.0,D,4/9/2011
TXD2,-0.07363530777733582,-0.12242560551363837,-0.1065972199260641,-0.5952477617397808,-0.6970598187473565,-4.288435247893181,-0.08461660360000596,-0.14373670193975843,-0.14449342751881097,-0.7079600690604508,1.463934401840032,-4.097686444777508,-0.08846265350419742,-0.14704107012383896,-0.1569495851616649,-0.7186796454142914,0.16292394485601908,-5.478813707283149,32.626942,-101.225967,150.0,D,5/10/2010
TXD3,0.11668460763965542,0.23231104641457537,0.1556532556970432,0.6908004809465736,-5.5060621058298,-2.3083982293901473,0.11502331760566005,0.2316688744805228,0.15004548773150056,0.6412165438326926,-7.316584062209336,-4.105255619785242,0.11732492758027953,0.23200505183527606,0.12540285017051453,0.538965603426347,-7.68693021133795,-3.82208380286631,33.74168333,-94.87768333,216.0,D,1/30/2015
TXD4,-0.002830750901924264,0.00408324610576766,-0.008809148729139085,-0.35169525547137465,1.1384449843277924,-1.4430365665890306,0.010024938183117116,0.025199805750042464,0.011910314972148428,-0.2749694385156846,-0.9873177511551035,-0.5283025197637476,0.0270174568871853,0.043335016116966905,0.060808397264598815,-0.10639995104917385,-2.6565234251507994,-1.2227063220351684,30.410081,-98.731213,100.0,D,1/22/2011
TXE1,-0.047758522715605725,-0.05340891508386976,-0.07850614585817717,-0.5832241073452594,0.17861721657596302,-3.7583734025428157,-0.046319163657137716,-0.04518582873038434,-0.08249147871374136,-0.5633621138126214,-2.9634818807721364,-5.212177453650112,-0.060418104698733835,-0.08334508434491836,-0.12958249792604568,-0.7253845708374871,2.761634770740097,-3.413196967337337,34.27383333,-100.23733333,350.0,E,9/20/2011
TXE2,-0.06646689365587911,-0.104180675088642,-0.10934206784647968,-0.6416372211911631,1.1397378960481863,-2.44877004838755,-0.037791022732173205,-0.06270453843131908,-0.027628547691272317,-0.39836127241806063,-1.9426739318959576,-2.032833471339685,-0.05400325343666538,-0.08495531409515612,-0.06837437322892038,-0.5260679052971944,0.33720340293606044,-2.9213892535995742,32.55698333,-100.44503333,330.0,E,2/10/2009
TXE3,-0.10944895166665376,-0.20968110947364393,-0.19661638374328466,-0.8326645447299347,3.3523794075354014,-6.668787081841552,-0.11720678086819385,-0.21779564099389195,-0.20503765790933973,-0.8479804745011781,4.578997095501845,-6.771544880537558,-0.10784718563151872,-0.2069267208928999,-0.180349438393372,-0.8081980511827472,3.995348999425373,-6.63488088775054,30.3501125,-104.13242722,940.0,E,6/8/2009
TXE4,-0.05555030750451002,-0.11615319220228448,-0.12938803534563514,-0.6750561724060199,-0.268246167962512,-8.16381786601166,-0.05095343302222669,-0.09659832723569128,-0.10178609598805767,-0.618734518011523,-3.2790690611365676,-7.45909543159647,-0.049943095586920574,-0.09732541749923866,-0.09589729731079251,-0.5731906709589334,-1.0530029398573022,-7.865593090133409,34.92001001,-102.1195,300.0,E,3/24/2006
TXF1,0.05597741020710147,0.1143627857404306,0.06423633191642944,0.09544559451741237,-6.34247071927549,1.049767313942482,0.05882664889699036,0.12180068801405976,0.0960710849986633,0.15534147314050067,-5.007341684396349,2.0397825004365093,0.06063193878354132,0.11515288877642765,0.09071985116518332,0.1654072497220469,-4.179156598113277,3.1764903605034425,29.61493134,-94.2870048,1624.2,F,7/9/2017
TXF2,-0.10873591382115046,-0.22387407879830976,-0.1846159746678952,-0.8211021417360043,7.737412840076865,-2.4515981437819776,-0.10810591872496289,-0.22337154074406299,-0.18245260181120493,-0.8305926276881164,6.83342839498884,-2.131560069500482,-0.11626106342056197,-0.2341001019228905,-0.20665841209646366,-0.867636591877418,6.248470174466799,-2.6406006670753506,30.13318357,-104.44407532,1000.0,F,6/1/2010
TXF3,-0.039906356092012644,-0.0733332764285753,-0.08270408886092338,-0.5831940672723183,1.7074756886564233,-0.2187190429903531,-0.05176844398953623,-0.09987171701623787,-0.12946071688961402,-0.6934358629677958,3.2822055863379216,-0.8855791048491216,-0.01795263714672993,-0.04688762988741986,-0.025457534395417977,-0.4317327645297616,-1.6920153764178454,-1.7443111131983715,31.364,-100.8778333,3554.0,F,8/20/2019
TXF4,0.15248805919462782,0.25356984014299694,0.2051653845287786,0.9360338488266646,-4.111481597490823,-1.7064187994025528,0.15847359957487206,0.26315701070951986,0.21858326308493597,0.9336725518156865,-6.668030749721886,-1.6956274349165448,0.1465021685894046,0.244214787890888,0.20649518980317277,0.907271470486581,-2.7372376153169036,-1.0789811299777181,31.324666,-95.345333,4931.0,F,9/4/2011
TXG1,-0.10178847838249125,-0.20675640751278165,-0.1698103042620823,-0.8041227901609981,4.53409604154867,-3.186228629477314,-0.09869396667629583,-0.1998985584309212,-0.1652173978158922,-0.7677983720431044,2.2292061754091654,-3.909875191760272,-0.10137876982798934,-0.2096164682802948,-0.1646165885840368,-0.7823540439248035,4.706945826261631,-2.936752020110013,31.96169121,-102.22525997,5000.0,G,5/24/2011
TXG2,-0.07963880044368311,-0.15631935689085927,-0.14272178594213206,-0.7378117144496542,4.03547984597288,-3.491282190829924,-0.07911948936305514,-0.1616389622002301,-0.1477327259218149,-0.7614415063335646,2.9414633966230705,-3.6898220046669383,-0.08001121782438458,-0.15299261852250334,-0.1351025335179844,-0.7068477899370904,1.816361991931595,-3.721231289907972,32.29333,-102.5697,5000.0,G,4/10/2008
TXG3,-0.06117280374381603,-0.12521822801999508,-0.1538316479378079,-0.7343470032356332,0.9112097970872415,-7.4427606099520345,-0.06649379007278228,-0.13293695826392668,-0.17620374764276658,-0.77606583111795,0.48509035587269855,-7.576530255453527,-0.06062883775241761,-0.1188974961591307,-0.1413988483198427,-0.6969947293872581,0.371147531366588,-7.420007473913569,33.60972222,-102.82972222,5000.0,G,2/16/2011
TXG4,-0.0705064866394509,-0.14483972063445616,-0.08684648432007566,-0.6162157241611397,3.6496998626530166,-3.253876290192876,-0.08222548228566084,-0.16888628432106273,-0.12985416052990367,-0.7127308374745506,3.507461804156015,-3.3244609213067617,-0.07411853643302688,-0.14784220898790174,-0.09926003212883751,-0.6169083412716898,1.1731361968266618,-3.387755460771572,32.1285,-102.1022,5000.0,G,3/2/2008
