Site,250m_16_days_EVI-0,250m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,250m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,250m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DATE,_classes
NWG21,-0.091671421,-0.17077556,-0.200942408,-0.598473477,6.90768189,2.157101245,-0.094574082,-0.173421868,-0.189274261,-0.569808252,4.587292469,0.778558248,-0.084500733,-0.158416694,-0.190060948,-0.58381283,6.666929482,1.409391268,46.67034,-120.1145,24892,4,8/17/2020,1
NWL35,-0.120019752,-0.224458407,-0.243340253,-0.663195079,3.062795666,-3.71189236,-0.119783233,-0.220879505,-0.227398263,-0.627046226,-0.342805893,-4.360975098,-0.116824776,-0.217031304,-0.224994093,-0.627377505,1.984617545,-4.200131031,42.7559077,-118.1188132,3456,4,8/17/2020,1
NWL40,-0.082189161,-0.172074384,-0.065815722,-0.265622928,-6.392912007,-5.332580184,-0.092330807,-0.196231622,-0.059277831,-0.250708435,-9.263694694,-6.314938848,-0.083874336,-0.176065595,-0.053681771,-0.23856594,-8.230848548,-6.152295485,44.41761586,-117.8579135,3696,4,8/17/2020,1
SOL6,0.084219123,0.149306874,-0.016304525,-0.171086149,7.231772734,5.884367694,0.107482959,0.191086006,0.049514905,0.062914291,3.49743966,4.378559228,0.104242194,0.186165502,0.04885151,0.006931498,4.584006355,4.889543348,34.44083816,-118.7461234,2151,4,8/17/2020,1
SWL45,-0.019384731,-0.06423918,-0.143735388,-0.502177094,11.49256768,7.532003411,0.003930247,-0.024961488,-0.063922217,-0.363100884,6.973765822,5.917765423,0.004404802,-0.023299094,-0.054318056,-0.341938506,8.379520613,6.829932383,33.55994519,-110.9042108,21670,4,8/17/2020,1
SWL79,-0.011485038,-0.005745211,-0.060517898,-0.327061251,8.191791634,6.26496978,0.001665426,0.020519447,-0.026654128,-0.25205469,4.061306127,4.434291907,0.006851895,0.025493887,-0.002473434,-0.20081655,5.645715367,5.396715477,33.5823952,-110.7012108,61821,4,8/17/2020,1
RML8,-0.080398587,-0.124498101,-0.086183709,-0.257707121,5.415675407,1.23583404,-0.067150704,-0.104032755,-0.087544876,-0.275001531,3.496068707,0.657974057,-0.078021633,-0.121580447,-0.122516137,-0.383674288,7.622532077,1.90050103,44.98431695,-106.5289112,25589.9,4,8/17/2020,1
NOG28,-0.001334063,0.017190494,0.023890076,-0.009194893,1.66447121,2.523047277,-0.004785713,0.009977571,0.002251632,-0.089722842,-0.450843738,1.574476303,-0.001737065,0.012966818,0.018790719,-0.055505396,1.575329559,2.524995954,39.76525508,-122.6729135,589368,4,8/16/2020,1
NWL4,-0.047442063,-0.095716875,0.052939034,0.066070645,-8.119787843,-5.838628827,-0.058169084,-0.125348172,0.021992134,-0.026093896,-11.05997557,-7.197040552,-0.044599381,-0.098740778,0.050453619,0.057050184,-8.11222462,-5.940007741,42.09432546,-120.2686135,2993,4,8/16/2020,1
NWL49,-0.026116911,-0.059953166,0.081357724,0.065945699,-8.551996486,-4.866141213,-0.042109357,-0.097901776,0.031406825,-0.03915135,-10.19628472,-6.280796537,-0.032111291,-0.066458163,0.075103221,0.045348024,-8.877788374,-5.716713315,44.03884558,-120.5276138,4020,4,8/16/2020,1
NWL64,0.050838668,0.074933629,0.294056556,0.868747097,-9.992856889,-4.460440588,0.043226979,0.056095739,0.267450736,0.724619938,-11.35183167,-5.303876901,0.0460088,0.081357142,0.297106279,0.821471604,-10.4502216,-4.686603315,44.4671755,-121.6052141,4338,4,8/16/2020,1
NWL71,0.013195901,0.022993537,0.26398407,0.861952042,-12.12188793,-4.630074691,0.003604849,-0.001457853,0.216184349,0.673151293,-13.35544418,-5.200274323,0.012153312,0.028093711,0.257830525,0.783425149,-12.49681793,-4.944351434,44.7731,-121.6172,4604,4,8/16/2020,1
NRC27,-0.090720362,-0.180811946,-0.139663759,-0.438049044,0.535218442,-2.88668335,-0.085685771,-0.162486374,-0.134888096,-0.408179004,-0.967976122,-3.038707607,-0.063836096,-0.129298822,-0.092513225,-0.3278794,-0.101558552,-1.021960823,47.78056733,-105.6244115,99.8,2,8/15/2020,0
GBG82,-0.041825324,-0.082100143,-0.096502079,-0.244183718,2.304795918,-0.491648722,-0.045866615,-0.084608642,-0.09221342,-0.227729283,0.781318082,-2.254374458,-0.044488502,-0.084598717,-0.096631157,-0.249776454,3.187905776,-1.6221018,42.29573591,-115.2943126,5427.1,4,8/14/2020,1
